DATE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5
2014-01-01,9.4,0,0,24,29,19,270,270,21.9,29.1
2014-01-02,17.45,0.38,10.6,20,26,2,50,60,32,38
2014-01-03,17,0.19,4.5,6,14,2,350,350,25.9,36
2014-01-04,12.3,0,0,10,27,2,230,240,23.9,31.1
2014-01-05,8.05,0.04,0,29,38,24,240,230,23,30
2014-01-06,13.87,0.32,0,44,56,29,290,290,25.1,33.1
2014-01-07,19.69,0,0,21,29,9,280,280,30,40.9
2014-01-08,12.75,0,0,13,22,7,250,240,23,32
2014-01-09,8.5,0,0,23,30,19,300,270,17,23
2014-01-10,4.92,0.02,0.2,25,37,18,220,220,12.1,14.1
2014-01-11,11.41,0.54,0,43,59,34,200,200,31.1,40.9
2014-01-12,16.11,0,0,48,54,37,280,270,29.1,38
2014-01-13,11.41,0,0,40,51,31,270,270,21,25.9
2014-01-14,7.83,0.79,0,47,50,44,280,270,17,21.9
2014-01-15,6.49,0,0,43,48,35,280,270,15,18.1
2014-01-16,3.13,0,0,37,39,33,20,330,8.1,10.1
2014-01-17,7.83,0,0,39,46,33,220,250,17,23.9
2014-01-18,6.93,0.79,2,35,38,32,340,350,12.1,17
2014-01-19,14.76,0.03,0.2,33,35,30,250,250,25.9,35.1
2014-01-20,14.99,0,0,35,41,26,300,300,25.1,32
2014-01-21,11.63,0.11,3.9,20,26,11,350,350,21.9,28
2014-01-22,16.55,0,0.3,12,18,7,350,350,23.9,31.1
2014-01-23,12.75,0,0,12,22,6,290,290,21.9,28
2014-01-24,13.65,0,0,13,19,7,290,290,21.9,25.9
2014-01-25,17.22,0,0.1,24,38,15,210,210,36.9,48.1
2014-01-26,15.66,0,0,22,26,16,280,280,32,44.1
2014-01-27,13.87,0.02,0,31,47,21,200,200,28,38.9
2014-01-28,12.75,0,0,19,21,13,300,310,25.1,33.1
2014-01-29,9.84,0.01,0,20,27,15,240,290,21.9,28
2014-01-30,9.84,0,0,22,30,16,200,210,17,21
2014-01-31,9.17,0,0,30,43,22,250,300,18.1,21.9
2014-02-01,8.28,0,0,38,42,32,110,190,17,19.9
2014-02-02,6.71,0.02,0,40,55,31,290,280,15,18.1
2014-02-03,9.17,0.17,1.6,36,41,27,330,330,15,18.1
2014-02-04,6.04,0,0,29,35,23,350,330,12.1,14.1
2014-02-05,10.74,1.11,10.7,31,33,24,70,90,21.9,32
2014-02-06,7.83,0,0,23,28,19,320,320,17,21.9
2014-02-07,10.74,0,0,24,30,19,260,270,18.1,23
2014-02-08,10.07,0,0,24,29,18,270,280,19.9,28
2014-02-09,7.61,0.03,0.3,26,30,21,220,320,14.1,17
2014-02-10,11.63,0,0.1,26,30,20,320,300,19.9,25.1
2014-02-11,10.29,0,0,20,25,14,320,340,19.9,25.1
2014-02-12,7.61,0,0,17,23,8,320,320,21.9,28
2014-02-13,19.91,1.35,3.2,29,36,21,30,20,38.9,49
2014-02-14,18.34,0.31,0.1,34,37,29,270,260,35.1,51
2014-02-15,9.62,0.33,3.6,32,35,27,330,320,23.9,30
2014-02-16,16.55,0.02,0.4,29,33,23,320,320,36,49
2014-02-17,14.76,0,0,22,29,14,320,320,23.9,32
2014-02-18,10.51,0.22,2.5,24,35,14,120,130,23,28
2014-02-19,8.05,0.25,0,29,36,21,270,280,16.1,19.9
2014-02-20,9.4,0.08,0,39,48,33,250,190,17,23
2014-02-21,8.95,0.22,0,37,44,34,110,110,21,31.1
2014-02-22,14.32,0,0,42,50,34,220,230,29.1,35.1
2014-02-23,6.04,0,0,43,52,34,270,270,17,23
2014-02-24,16.33,0,0,38,45,24,290,300,25.9,36.9
2014-02-25,10.51,0,0,25,29,22,300,300,21,28
2014-02-26,11.63,0,0,24,32,16,240,250,23.9,33.1
2014-02-27,11.86,0.02,0.4,20,30,12,290,290,29.1,36.9
