date,total,special fuel,gasoline,Vehicle-Miles
2021-12-01,,,,5260
2021-11-01,242875383,38099539,204775844,5156
2021-10-01,267412325,41370369,226041956,5543
2021-09-01,259284840,37847254,221437586,5120
2021-08-01,261347939,39981448,221366491,5340
2021-07-01,261146156,36662626,224483530,5535
2021-06-01,263994621,38535239,225459382,5319
2021-05-01,257785398,39433134,218352264,5050
2021-04-01,236267059,35984047,200283012,4195
2021-03-01,238568212,36742079,201826133,4735
2021-02-01,204932241,34406091,170526150,3674
2021-01-01,214895112,31811107,183084005,4097
2020-12-01,230481036,37258003,193223033,4742
2020-11-01,222679861,36010906,186668955,4425
2020-10-01,244858856,38991865,205866991,4990
2020-09-01,237161373,35671304,201490069,4669
2020-08-01,244105890,31420879,212685011,4846
2020-07-01,239938253,31199793,208738460,4965
2020-06-01,225925647,36828893,189096754,4323
2020-05-01,145003218,26660056,118343162,3567
2020-04-01,144974408,26660056,118314352,2530
2020-03-01,214270645,32101591,182169054,4074
2020-02-01,239996914,31244579,208752335,4629
2020-01-01,260475727,35440135,225035592,5040
2019-12-01,271736780,40613394,231123386,5649
2019-11-01,266788905,37639055,229149850,5525
2019-10-01,283766656,40906020,242860636,5993
2019-09-01,266899868,36901788,229998080,5680
2019-08-01,290105193,40717694,249387499,5982
2019-07-01,286227140,37688651,248538489,6269
2019-06-01,276756627,38389693,238366934,5849
2019-05-01,282519359,39783649,242735710,5806
2019-04-01,264385252,35822657,228562595,5130
2019-03-01,268222054,36996845,231225209,5467
2019-02-01,238603044,32452043,206151001,4750
2019-01-01,260389546,34757479,225632067,5122
2018-12-01,275407082,37867966,237539116,5808
2018-11-01,269949728,38029617,231920111,5450
2018-10-01,288391049,39398380,248992669,5560
2018-09-01,268992086,37112481,231879605,5279
2018-08-01,291603917,41044950,250558967,5528
2018-07-01,283045933,35842579,247203354,5764
2018-06-01,284103916,39652933,244450983,5481
2018-05-01,286089897,41053522,245036375,5523
2018-04-01,255805787,34973199,220832588,4740
2018-03-01,268085166,37868471,230216695,5113
2018-02-01,248178305,31265261,216913044,4337
2018-01-01,252337661,37126150,215211511,4591
2017-12-01,276038875,38754697,237284178,5263
2017-11-01,271188491,38018452,233170039,5051
2017-10-01,279474788,38153306,241321482,5693
2017-09-01,268690860,36143905,232546955,5250
2017-08-01,285512127,39048762,246463365,5619
2017-07-01,276072965,34549900,241523065,5752
2017-06-01,292068319,39599468,252468851,5449
2017-05-01,282745754,39959774,242785980,5433
2017-04-01,258582810,33744885,224837925,4665
2017-03-01,268126301,36007123,232119178,4864
2017-02-01,233940464,31865601,202074863,4233
2017-01-01,250310733,32154841,218155892,4799
2016-12-01,283893328,39697661,244195667,5051
2016-11-01,269199081,37184370,232014711,4988
2016-10-01,273662772,35674168,237988604,5191
2016-09-01,273597708,37262590,236335118,4922
2016-08-01,288964704,38967686,249997018,5300
2016-07-01,283253024,36090246,247162778,5422
2016-06-01,284108959,37795208,246313751,5317
2016-05-01,281442301,39801448,241640853,5151
2016-04-01,268014167,36172196,231841971,4470
2016-03-01,267472959,36083788,231389171,5167
2016-02-01,262589803,38250229,224339574,4571
2016-01-01,262744019,38261385,224482634,4879
2015-12-01,247128453,35126352,212002101,4937
2015-11-01,264312317,36094187,228218130,4727
2015-10-01,277581286,37624606,239956680,5130
2015-09-01,269356929,36351584,233005345,4812
2015-08-01,283196803,37209372,245987431,5144
2015-07-01,281541951,36932462,244609489,5347
2015-06-01,275964378,38507646,237456732,5089
2015-05-01,279592269,37660454,241931815,5018
2015-04-01,254655617,34275199,220380418,4334
2015-03-01,271479109,40286900,231192209,4748
2015-02-01,241221905,37936227,203285678,4062
2015-01-01,273770979,35773020,237997959,4406
2014-12-01,248551027,35697512,212853515,4845
2014-11-01,264633985,36643845,227990140,4523
2014-10-01,270250004,35386237,234863767,4974
2014-09-01,263084147,35740173,227343974,4681
2014-08-01,278629074,35816651,242812423,5035
2014-07-01,273720766,34423003,239297763,5176
2014-06-01,270119214,34984011,235135203,4949
2014-05-01,275728585,37368430,238360155,4946
2014-04-01,251496065,31270900,220225165,4270
2014-03-01,259171068,33559787,225611281,4749
2014-02-01,231838248,31779879,200058369,4159
2014-01-01,252971591,34329658,218641933,4547
