,date,flight_number
2,2021-12-01,27285.0
3,2021-11-01,28315.0
4,2021-10-01,28780.0
5,2021-09-01,27504.0
6,2021-08-01,27693.0
7,2021-07-01,26545.0
8,2021-06-01,23634.0
9,2021-05-01,19407.0
10,2021-04-01,17032.0
11,2021-03-01,15600.0
12,2021-02-01,11634.0
13,2021-01-01,12605.0
14,2020-12-01,14182.0
15,2020-11-01,14204.0
16,2020-10-01,14041.0
17,2020-09-01,13469.0
18,2020-08-01,15582.0
19,2020-07-01,16152.0
20,2020-06-01,10361.0
21,2020-05-01,7455.0
22,2020-04-01,7938.0
23,2020-03-01,28682.0
24,2020-02-01,31635.0
25,2020-01-01,33001.0
26,2019-12-01,33693.0
27,2019-11-01,34256.0
28,2019-10-01,38066.0
29,2019-09-01,37334.0
30,2019-08-01,40075.0
31,2019-07-01,38627.0
32,2019-06-01,37494.0
33,2019-05-01,38008.0
34,2019-04-01,35968.0
35,2019-03-01,34350.0
36,2019-02-01,28975.0
37,2019-01-01,30330.0
38,2018-12-01,32909.0
39,2018-11-01,33963.0
40,2018-10-01,38159.0
41,2018-09-01,36818.0
42,2018-08-01,40208.0
43,2018-07-01,39328.0
44,2018-06-01,38618.0
45,2018-05-01,38233.0
46,2018-04-01,35401.0
47,2018-03-01,31850.0
48,2018-02-01,38957.0
49,2018-01-01,29580.0
50,2017-12-01,31402.0
51,2017-11-01,32613.0
52,2017-10-01,35474.0
53,2017-09-01,34316.0
54,2017-08-01,38475.0
55,2017-07-01,37244.0
56,2017-06-01,35915.0
57,2017-05-01,35226.0
58,2017-04-01,32904.0
59,2017-03-01,32049.0
60,2017-02-01,26358.0
61,2017-01-01,29395.0
62,2016-12-01,29606.0
63,2016-11-01,30958.0
64,2016-10-01,33873.0
65,2016-09-01,34685.0
66,2016-08-01,37828.0
67,2016-07-01,37083.0
68,2016-06-01,35858.0
69,2016-05-01,34485.0
70,2016-04-01,31439.0
71,2016-03-01,31043.0
72,2016-02-01,26416.0
73,2016-01-01,27948.0
74,2015-12-01,29270.0
75,2015-11-01,30376.0
76,2015-10-01,33529.0
77,2015-09-01,33513.0
78,2015-08-01,36139.0
79,2015-07-01,36590.0
80,2015-06-01,33511.0
81,2015-05-01,32274.0
82,2015-04-01,30572.0
83,2015-03-01,29540.0
84,2015-02-01,22310.0
85,2015-01-01,25304.0
86,2014-12-01,27812.0
87,2014-11-01,28044.0
88,2014-10-01,31572.0
89,2014-09-01,31985.0
90,2014-08-01,35201.0
91,2014-07-01,35234.0
92,2014-06-01,32873.0
93,2014-05-01,32255.0
94,2014-04-01,30712.0
95,2014-03-01,29604.0
96,2014-02-01,23664.0
97,2014-01-01,24841.0
