ID Group,Group,ID Year,Year,Commute Means,Commute Means Moe,Geography,ID Geography,Slug Geography,share
0,"Drove Alone",2019,"2019",148128,6523,"Boston, MA","16000US2507000","boston-ma",0.3694794342869971
1,"Carpooled",2019,"2019",23284,3084.685721430953,"Boston, MA","16000US2507000","boston-ma",0.05807787283929061
2,"Public Transit",2019,"2019",128238,6786.39329835812,"Boston, MA","16000US2507000","boston-ma",0.31986730188820434
3,"Taxi",2019,"2019",2450,709,"Boston, MA","16000US2507000","boston-ma",0.006111097253747724
4,"Motorcycle",2019,"2019",281,236,"Boston, MA","16000US2507000","boston-ma",0.0007009054401237185
5,"Bicycle",2019,"2019",9852,1850.9999999999998,"Boston, MA","16000US2507000","boston-ma",0.02457409393629493
6,"Walked",2019,"2019",67245,5358,"Boston, MA","16000US2507000","boston-ma",0.16773091217480232
7,"Other",2019,"2019",5004,1741,"Boston, MA","16000US2507000","boston-ma",0.012481604350103514
8,"Worked At Home",2019,"2019",16428,2356,"Boston, MA","16000US2507000","boston-ma",0.04097677783043576
0,"Drove Alone",2018,"2018",144793,6707,"Boston, MA","16000US2507000","boston-ma",0.3849249918252654
1,"Carpooled",2018,"2018",23139,3543.893903603775,"Boston, MA","16000US2507000","boston-ma",0.061513881098152645
2,"Public Transit",2018,"2018",120995,6036.884792672458,"Boston, MA","16000US2507000","boston-ma",0.321659191990621
3,"Taxi",2018,"2018",2554,735,"Boston, MA","16000US2507000","boston-ma",0.006789682022761651
4,"Motorcycle",2018,"2018",173,209,"Boston, MA","16000US2507000","boston-ma",0.00045991189895762163
5,"Bicycle",2018,"2018",8623,1414,"Boston, MA","16000US2507000","boston-ma",0.022923816790240296
6,"Walked",2018,"2018",57938,3321,"Boston, MA","16000US2507000","boston-ma",0.1540252924959924
7,"Other",2018,"2018",3916,1182,"Boston, MA","16000US2507000","boston-ma",0.0104104913081968
8,"Worked At Home",2018,"2018",14028,1847,"Boston, MA","16000US2507000","boston-ma",0.03729274056981224
0,"Drove Alone",2017,"2017",139454,6004,"Boston, MA","16000US2507000","boston-ma",0.3756640267226981
1,"Carpooled",2017,"2017",22488,2895.175124236874,"Boston, MA","16000US2507000","boston-ma",0.060578632616777116
2,"Public Transit",2017,"2017",129977,6299.12184355883,"Boston, MA","16000US2507000","boston-ma",0.35013469101880285
3,"Taxi",2017,"2017",2665,917.9999999999999,"Boston, MA","16000US2507000","boston-ma",0.00717903130219277
4,"Motorcycle",2017,"2017",496,323,"Boston, MA","16000US2507000","boston-ma",0.0013361349065244329
5,"Bicycle",2017,"2017",7990,1599,"Boston, MA","16000US2507000","boston-ma",0.02152362480469802
6,"Walked",2017,"2017",52972,3458.9999999999995,"Boston, MA","16000US2507000","boston-ma",0.14269705296050858
7,"Other",2017,"2017",4259,1170,"Boston, MA","16000US2507000","boston-ma",0.011472980981628146
8,"Worked At Home",2017,"2017",10919,1748.0000000000002,"Boston, MA","16000US2507000","boston-ma",0.029413824686169925
0,"Drove Alone",2016,"2016",142554,5879,"Boston, MA","16000US2507000","boston-ma",0.3935803069039586
1,"Carpooled",2016,"2016",24100,3599.758464119502,"Boston, MA","16000US2507000","boston-ma",0.06653819181773506
2,"Public Transit",2016,"2016",118670,6566.49419401251,"Boston, MA","16000US2507000","boston-ma",0.3276384739838431
3,"Taxi",2016,"2016",2739,960.9999999999999,"Boston, MA","16000US2507000","boston-ma",0.007562162132314369
4,"Motorcycle",2016,"2016",140,230,"Boston, MA","16000US2507000","boston-ma",0.0003865289151237721
5,"Bicycle",2016,"2016",8873,1516,"Boston, MA","16000US2507000","boston-ma",0.02449765045638021
6,"Walked",2016,"2016",49069,3073,"Boston, MA","16000US2507000","boston-ma",0.1354756238300598
7,"Other",2016,"2016",4736,1288,"Boston, MA","16000US2507000","boston-ma",0.013075721014472746
8,"Worked At Home",2016,"2016",11317,1743.0000000000002,"Boston, MA","16000US2507000","boston-ma",0.031245340946112348
0,"Drove Alone",2015,"2015",134596,5149,"Boston, MA","16000US2507000","boston-ma",0.3736110609925692
1,"Carpooled",2015,"2015",20604,3079.098407001634,"Boston, MA","16000US2507000","boston-ma",0.05719250424002865
2,"Public Transit",2015,"2015",124341,6568.488943432881,"Boston, MA","16000US2507000","boston-ma",0.34514527129243844
3,"Taxi",2015,"2015",800,391,"Boston, MA","16000US2507000","boston-ma",0.0022206369341886485
4,"Motorcycle",2015,"2015",617,476,"Boston, MA","16000US2507000","boston-ma",0.0017126662354929952
5,"Bicycle",2015,"2015",5596,1064,"Boston, MA","16000US2507000","boston-ma",0.015533355354649597
6,"Walked",2015,"2015",60012,4297,"Boston, MA","16000US2507000","boston-ma",0.1665810796181615
7,"Other",2015,"2015",2522,936.9999999999999,"Boston, MA","16000US2507000","boston-ma",0.007000557935029715
