Date, Total
Dec 2021,43172
Nov 2021,31786
Oct 2021,21723
Sep 2021,17929
Aug 2021,22065
Jul 2021,22063
Jun 2021,21259
May 2021,18722
Apr 2021,26679
Mar 2021,40475
Feb 2021,52791
Jan 2021,55605
Dec 2020,50034
Nov 2020,31076
Oct 2020,23994
Sep 2020,18381
Aug 2020,22665
Jul 2020,27568
Jun 2020,17660
May 2020,18276
Apr 2020,30792
Mar 2020,36129
Feb 2020,48625
Jan 2020,54347
Dec 2019,54040
Nov 2019,41163
Oct 2019,22869
Sep 2019,18225
Aug 2019,22503
Jul 2019,26964
Jun 2019,17660
May 2019,22161
Apr 2019,30029
Mar 2019,48182
Feb 2019,52258
Jan 2019,62226
Dec 2018,48068
Nov 2018,39981
Oct 2018,25868
Sep 2018,22131
Aug 2018,28736
Jul 2018,26528
Jun 2018,18904
May 2018,19253
Apr 2018,34995
Mar 2018,50795
Feb 2018,53895
Jan 2018,61282
Dec 2017,58012
Nov 2017,38033
Oct 2017,26389
Sep 2017,24628
Aug 2017,27825
Jul 2017,27329
Jun 2017,25689
May 2017,28053
Apr 2017,34677
Mar 2017,53317
Feb 2017,44661
Jan 2017,52121
Dec 2016,50315
Nov 2016,32838
Oct 2016,25040
Sep 2016,23309
Aug 2016,30155
Jul 2016,30228
Jun 2016,26479
May 2016,29521
Apr 2016,34459
Mar 2016,39498
Feb 2016,47175
Jan 2016,50432
Dec 2015,35848
Nov 2015,31121
Oct 2015,30340
Sep 2015,26010
Aug 2015,32327
Jul 2015,31968
Jun 2015,24702
May 2015,26798
Apr 2015,32698
Mar 2015,48538
Feb 2015,56909
Jan 2015,56732
Dec 2014,40965
Nov 2014,34407
Oct 2014,28321
Sep 2014,23092
Aug 2014,25776
Jul 2014,27305
Jun 2014,22385
May 2014,27292
Apr 2014,38084
Mar 2014,44694
Feb 2014,47769
Jan 2014,53771
Dec 2013,44149
Nov 2013,37185
Oct 2013,27690
Sep 2013,24543
Aug 2013,28467
Jul 2013,31202
Jun 2013,23370
May 2013,28245
Apr 2013,35147
Mar 2013,42328
Feb 2013,45652
Jan 2013,50263
Dec 2012,42420
Nov 2012,36974
Oct 2012,28199
Sep 2012,28435
Aug 2012,32098
Jul 2012,30618
Jun 2012,26214
May 2012,25959
Apr 2012,29210
Mar 2012,36959
Feb 2012,46025
Jan 2012,49526
Dec 2011,42582
Nov 2011,36860
Oct 2011,33368
Sep 2011,26718
Aug 2011,30670
Jul 2011,30015
Jun 2011,24246
May 2011,27391
Apr 2011,36862
Mar 2011,45627
Feb 2011,50826
Jan 2011,59371
Dec 2010,51363
Nov 2010,36684
Oct 2010,27976
Sep 2010,26452
Aug 2010,31238
Jul 2010,32005
Jun 2010,26532
May 2010,28325
Apr 2010,29586
Mar 2010,37531
Feb 2010,46881
Jan 2010,53898
Dec 2009,47079
Nov 2009,32022
Oct 2009,29583
Sep 2009,23998
Aug 2009,27143
Jul 2009,22791
Jun 2009,18616
May 2009,20236
Apr 2009,30642
Mar 2009,41447
Feb 2009,46564
Jan 2009,53869
Dec 2008,45568
Nov 2008,36922
Oct 2008,26229
Sep 2008,21637
Aug 2008,22683
Jul 2008,28392
Jun 2008,24767
May 2008,23986
Apr 2008,35633
Mar 2008,45481
Feb 2008,46100
Jan 2008,47408
Dec 2007,45696
Nov 2007,31610
Oct 2007,24748
Sep 2007,24665
Aug 2007,28310
Jul 2007,26937
Jun 2007,24423
May 2007,26516
Apr 2007,40133
Mar 2007,46572
Feb 2007,47516
Jan 2007,39141
Dec 2006,31234
Nov 2006,25506
Oct 2006,25785
Sep 2006,21947
Aug 2006,24626
Jul 2006,29288
Jun 2006,25998
May 2006,26934
Apr 2006,31251
Mar 2006,43664
Feb 2006,39967
Jan 2006,42251
Dec 2005,38819
Nov 2005,24651
Oct 2005,18920
Sep 2005,21751
Aug 2005,25383
Jul 2005,24822
Jun 2005,25040
May 2005,25515
Apr 2005,36162
Mar 2005,45737
Feb 2005,45004
Jan 2005,43684
Dec 2004,35091
Nov 2004,28310
Oct 2004,22710
Sep 2004,20120
Aug 2004,21585
Jul 2004,23202
Jun 2004,22360
May 2004,23705
Apr 2004,38312
Mar 2004,40517
Feb 2004,47355
Jan 2004,47337
Dec 2003,39583
Nov 2003,32407
Oct 2003,32416
Sep 2003,23294
Aug 2003,25461
Jul 2003,26581
Jun 2003,24827
May 2003,26400
Apr 2003,35646
Mar 2003,41405
Feb 2003,47096
Jan 2003,46732
Dec 2002,45435
Nov 2002,31958
Oct 2002,27484
Sep 2002,25422
Aug 2002,26957
Jul 2002,23254
Jun 2002,25316
May 2002,27757
Apr 2002,29989
Mar 2002,40295
Feb 2002,40420
Jan 2002,44559
Dec 2001,31456
Nov 2001,24646
Oct 2001,24627
Sep 2001,22753
Aug 2001,23154
Jul 2001,19305
Jun 2001,19798
May 2001,23495
Apr 2001,30815
Mar 2001,39690
Feb 2001,40868
Jan 2001,45181
