date, pm25, o3, no2, so2, co
2022/3/2, 43, 31, 17, 1, 3
2022/3/3, 43, 28, 13, 1, 3
2022/3/4, 33, 28, 13, , 2
2022/3/5, 24, 33, 12, 1, 2
2022/3/6, 35, 24, 16, , 2
2022/3/7, 43, 25, 11, , 3
2022/3/8, 48, 28, 2, , 2
2022/3/9, 9, , , , 
2022/2/2, 56, 15, 34, 1, 7
2022/2/3, 68, 17, 24, 1, 5
2022/2/4, 57, 23, 15, 1, 3
2022/2/5, 26, 29, 9, , 2
2022/2/6, 32, 28, 8, 1, 3
2022/2/7, 38, 27, 39, 2, 7
2022/2/8, 51, 24, 17, 1, 3
2022/2/9, 34, 24, 11, 1, 3
2022/2/10, 35, 26, 23, 1, 4
2022/2/11, 40, 32, 24, 1, 4
2022/2/12, 34, 33, 8, 1, 2
2022/2/13, 32, 21, 9, 1, 2
2022/2/14, 33, 25, 13, 1, 3
2022/2/15, 41, 24, 19, 1, 4
2022/2/16, 46, 31, 21, 1, 4
2022/2/17, 40, 31, 8, 1, 2
2022/2/18, 31, 30, 6, 1, 2
2022/2/19, 16, 27, 10, 1, 3
2022/2/20, 29, 27, 8, 1, 2
2022/2/21, 29, 25, 14, 1, 3
2022/2/22, 39, 33, 25, 1, 5
2022/2/23, 56, 27, 8, , 2
2022/2/24, 31, 23, 14, 1, 2
2022/2/25, 21, 22, 13, , 2
2022/2/26, 27, 29, 18, 1, 4
2022/2/27, 39, 34, 12, , 3
2022/2/28, 45, 28, 14, 1, 2
2022/3/1, 44, 29, 24, 1, 5
2022/1/4, 18, 22, 16, 1, 3
2022/1/5, 22, 16, 18, 1, 4
2022/1/6, 31, 19, 13, 1, 4
2022/1/7, 48, 21, 14, 1, 3
2022/1/8, 45, 24, 17, 1, 4
2022/1/9, 49, 30, 11, 1, 3
2022/1/10, 36, 26, 9, , 3
2022/1/11, 23, 25, 11, , 3
2022/1/12, 53, 25, 19, 1, 4
2022/1/13, 50, 14, 27, 1, 6
2022/1/14, 62, 28, 17, 1, 4
2022/1/15, 51, 26, 7, 1, 2
2022/1/16, 26, 25, 19, 1, 3
2022/1/17, 31, 32, 5, 1, 2
2022/1/18, 37, 26, 10, 1, 2
2022/1/19, 19, 28, 14, 1, 3
2022/1/20, 29, 27, 16, 1, 3
2022/1/21, 45, 26, 16, 1, 2
2022/1/22, 30, 25, 19, 1, 3
2022/1/23, 44, 24, 17, 1, 4
2022/1/24, 67, 20, 18, 1, 3
2022/1/25, 60, 19, 19, 1, 4
2022/1/26, 70, 28, 15, 1, 3
2022/1/27, 29, 23, 23, 1, 4
2022/1/28, 40, 19, 21, 2, 4
2022/1/29, 60, 27, 8, 1, 2
2022/1/30, 36, 28, 14, 1, 3
2022/1/31, 30, 24, 33, 1, 6
2022/2/1, 50, 13, 38, 2, 6
2021/10/2, 26, 29, 7, , 4
2021/10/3, 29, 17, 8, , 3
2021/10/4, 26, 18, 5, , 2
2021/10/5, 20, 16, 8, , 3
2021/10/6, 13, 15, 15, , 6
2021/10/7, 17, 19, 15, , 6
2021/10/8, 18, 22, 8, , 3
2021/10/9, 29, 23, 1, , 2
2021/10/10, 26, 26, 2, , 1
2021/10/11, 16, 23, 7, , 2
2021/10/12, 16, 27, 15, , 5
2021/10/13, 28, 32, 12, , 4
2021/10/14, 35, 25, 13, , 4
2021/10/15, 35, 24, 10, , 3
2021/10/16, 40, 33, 3, , 3
2021/10/17, 23, 22, 3, , 3
2021/10/18, 12, 18, 6, , 3
2021/10/19, 17, 22, 6, , 3
2021/10/20, 18, 27, 14, , 4
2021/10/21, 36, 40, 13, , 3
2021/10/22, 36, 34, 8, , 3
2021/10/23, 35, 18, 6, , 3
2021/10/24, 15, 18, 8, , 3
2021/10/25, 24, 18, 9, , 2
2021/10/26, 20, 25, 4, , 1
2021/10/27, 14, 21, 2, , 1
2021/10/28, 18, 21, 10, , 3
2021/10/29, 29, 25, 9, , 2
2021/10/30, 33, 26, 3, , 1
2021/10/31, 17, 22, 4, , 3
2021/11/1, 16, 22, 8, , 2
2021/11/2, 19, 22, 13, 1, 4
2021/11/3, 22, 19, 10, , 2
2021/11/4, 20, 15, 14, 1, 3
2021/11/5, 22, 21, 17, 1, 5
