date,total,special fuel,gasoline,Vehicle-Miles
2021-12-01,"246,228,117","37,352,085","208,876,032","5,260"
2021-11-01,"242,875,383","38,099,539","204,775,844","5,156"
2021-10-01,"267,412,325","41,370,369","226,041,956","5,543"
2021-09-01,"259,284,840","37,847,254","221,437,586","5,120"
2021-08-01,"261,347,939","39,981,448","221,366,491","5,340"
2021-07-01,"261,146,156","36,662,626","224,483,530","5,535"
2021-06-01,"263,994,621","38,535,239","225,459,382","5,319"
2021-05-01,"257,785,398","39,433,134","218,352,264","5,050"
2021-04-01,"236,267,059","35,984,047","200,283,012","4,195"
2021-03-01,"238,568,212","36,742,079","201,826,133","4,735"
2021-02-01,"204,932,241","34,406,091","170,526,150","3,674"
2021-01-01,"214,895,112","31,811,107","183,084,005","4,097"
2020-12-01,"230,481,036","37,258,003","193,223,033","4,742"
2020-11-01,"222,679,861","36,010,906","186,668,955","4,425"
2020-10-01,"244,858,856","38,991,865","205,866,991","4,990"
2020-09-01,"237,161,373","35,671,304","201,490,069","4,669"
2020-08-01,"244,105,890","31,420,879","212,685,011","4,846"
2020-07-01,"239,938,253","31,199,793","208,738,460","4,965"
2020-06-01,"225,925,647","36,828,893","189,096,754","4,323"
2020-05-01,"145,003,218","26,660,056","118,343,162","3,567"
2020-04-01,"144,974,408","26,660,056","118,314,352","2,530"
2020-03-01,"214,270,645","32,101,591","182,169,054","4,074"
2020-02-01,"239,996,914","31,244,579","208,752,335","4,629"
2020-01-01,"260,475,727","35,440,135","225,035,592","5,040"
2019-12-01,"271,736,780","40,613,394","231,123,386","5,649"
2019-11-01,"266,788,905","37,639,055","229,149,850","5,525"
2019-10-01,"283,766,656","40,906,020","242,860,636","5,993"
2019-09-01,"266,899,868","36,901,788","229,998,080","5,680"
2019-08-01,"290,105,193","40,717,694","249,387,499","5,982"
2019-07-01,"286,227,140","37,688,651","248,538,489","6,269"
2019-06-01,"276,756,627","38,389,693","238,366,934","5,849"
2019-05-01,"282,519,359","39,783,649","242,735,710","5,806"
2019-04-01,"264,385,252","35,822,657","228,562,595","5,130"
2019-03-01,"268,222,054","36,996,845","231,225,209","5,467"
2019-02-01,"238,603,044","32,452,043","206,151,001","4,750"
2019-01-01,"260,389,546","34,757,479","225,632,067","5,122"
2018-12-01,"275,407,082","37,867,966","237,539,116","5,808"
2018-11-01,"269,949,728","38,029,617","231,920,111","5,450"
2018-10-01,"288,391,049","39,398,380","248,992,669","5,560"
2018-09-01,"268,992,086","37,112,481","231,879,605","5,279"
2018-08-01,"291,603,917","41,044,950","250,558,967","5,528"
2018-07-01,"283,045,933","35,842,579","247,203,354","5,764"
2018-06-01,"284,103,916","39,652,933","244,450,983","5,481"
2018-05-01,"286,089,897","41,053,522","245,036,375","5,523"
2018-04-01,"255,805,787","34,973,199","220,832,588","4,740"
2018-03-01,"268,085,166","37,868,471","230,216,695","5,113"
2018-02-01,"248,178,305","31,265,261","216,913,044","4,337"
2018-01-01,"252,337,661","37,126,150","215,211,511","4,591"
2017-12-01,"276,038,875","38,754,697","237,284,178","5,263"
2017-11-01,"271,188,491","38,018,452","233,170,039","5,051"
2017-10-01,"279,474,788","38,153,306","241,321,482","5,693"
2017-09-01,"268,690,860","36,143,905","232,546,955","5,250"
2017-08-01,"285,512,127","39,048,762","246,463,365","5,619"
2017-07-01,"276,072,965","34,549,900","241,523,065","5,752"
2017-06-01,"292,068,319","39,599,468","252,468,851","5,449"
2017-05-01,"282,745,754","39,959,774","242,785,980","5,433"
2017-04-01,"258,582,810","33,744,885","224,837,925","4,665"
2017-03-01,"268,126,301","36,007,123","232,119,178","4,864"
2017-02-01,"233,940,464","31,865,601","202,074,863","4,233"
2017-01-01,"250,310,733","32,154,841","218,155,892","4,799"
2016-12-01,"283,893,328","39,697,661","244,195,667","5,051"
2016-11-01,"269,199,081","37,184,370","232,014,711","4,988"
2016-10-01,"273,662,772","35,674,168","237,988,604","5,191"
2016-09-01,"273,597,708","37,262,590","236,335,118","4,922"
2016-08-01,"288,964,704","38,967,686","249,997,018","5,300"
2016-07-01,"283,253,024","36,090,246","247,162,778","5,422"
2016-06-01,"284,108,959","37,795,208","246,313,751","5,317"
2016-05-01,"281,442,301","39,801,448","241,640,853","5,151"
2016-04-01,"268,014,167","36,172,196","231,841,971","4,470"
2016-03-01,"267,472,959","36,083,788","231,389,171","5,167"
2016-02-01,"262,589,803","38,250,229","224,339,574","4,571"
2016-01-01,"262,744,019","38,261,385","224,482,634","4,879"
2015-12-01,"247,128,453","35,126,352","212,002,101","4,937"
2015-11-01,"264,312,317","36,094,187","228,218,130","4,727"
2015-10-01,"277,581,286","37,624,606","239,956,680","5,130"
2015-09-01,"269,356,929","36,351,584","233,005,345","4,812"
2015-08-01,"283,196,803","37,209,372","245,987,431","5,144"
2015-07-01,"281,541,951","36,932,462","244,609,489","5,347"
2015-06-01,"275,964,378","38,507,646","237,456,732","5,089"
2015-05-01,"279,592,269","37,660,454","241,931,815","5,018"
2015-04-01,"254,655,617","34,275,199","220,380,418","4,334"
2015-03-01,"271,479,109","40,286,900","231,192,209","4,748"
2015-02-01,"241,221,905","37,936,227","203,285,678","4,062"
2015-01-01,"273,770,979","35,773,020","237,997,959","4,406"
2014-12-01,"248,551,027","35,697,512","212,853,515","4,845"
2014-11-01,"264,633,985","36,643,845","227,990,140","4,523"
2014-10-01,"270,250,004","35,386,237","234,863,767","4,974"
2014-09-01,"263,084,147","35,740,173","227,343,974","4,681"
2014-08-01,"278,629,074","35,816,651","242,812,423","5,035"
2014-07-01,"273,720,766","34,423,003","239,297,763","5,176"
2014-06-01,"270,119,214","34,984,011","235,135,203","4,949"
2014-05-01,"275,728,585","37,368,430","238,360,155","4,946"
2014-04-01,"251,496,065","31,270,900","220,225,165","4,270"
2014-03-01,"259,171,068","33,559,787","225,611,281","4,749"
2014-02-01,"231,838,248","31,779,879","200,058,369","4,159"
2014-01-01,"252,971,591","34,329,658","218,641,933","4,547"
