date,pm25,o3,no2,so2,co
2021-12-31,52.0,4.0,18.0,1.0,5.0
2021-12-30,42.0,2.0,23.0,1.0,5.0
2021-12-29,40.0,9.0,15.0,1.0,4.0
2021-12-28,27.0,12.0,15.0,1.0,4.0
2021-12-27,26.0,13.0,13.0,1.0,3.0
2021-12-26,64.0,18.0,9.0,1.0,3.0
2021-12-25,32.0,11.0,18.0,1.0,4.0
2021-12-24,14.0,22.0,17.0,1.0,4.0
2021-12-23,47.0,26.0,9.0,1.0,2.0
2021-12-22,44.0,23.0,18.0,1.0,5.0
2021-12-21,27.0,14.0,32.0,3.0,6.0
2021-12-20,18.0,19.0,28.0,5.0,3.0
2021-12-19,23.0,14.0,39.0,6.0,2.0
2021-12-18,28.0,21.0,13.0,1.0,2.0
2021-12-17,35.0,30.0,9.0,1.0,2.0
2021-12-16,24.0,22.0,18.0,4.0,3.0
2021-12-15,20.0,12.0,46.0,3.0,4.0
2021-12-14,20.0,22.0,15.0,1.0,3.0
2021-12-13,15.0,21.0,13.0,1.0,3.0
2021-12-12,62.0,27.0,5.0,1.0,2.0
2021-12-11,43.0,23.0,14.0,1.0,6.0
2021-12-10,33.0,14.0,22.0,1.0,5.0
2021-12-09,25.0,20.0,14.0,1.0,3.0
2021-12-08,14.0,18.0,16.0,1.0,2.0
2021-12-07,42.0,21.0,13.0,1.0,3.0
2021-12-06,26.0,36.0,9.0,1.0,3.0
2021-12-05,30.0,25.0,13.0,1.0,4.0
2021-12-04,13.0,24.0,15.0,1.0,4.0
2021-12-03,47.0,22.0,9.0,1.0,3.0
2021-12-02,45.0,28.0,19.0,1.0,4.0
2021-12-01,24.0,18.0,18.0,1.0,4.0
2021-11-30,34.0,21.0,14.0,1.0,3.0
2021-11-29,22.0,21.0,17.0,1.0,3.0
2021-11-28,9.0,24.0,7.0,1.0,2.0
2021-11-27,32.0,23.0,3.0,1.0,1.0
2021-11-26,28.0,14.0,10.0,1.0,3.0
2021-11-25,14.0,22.0,14.0,1.0,4.0
2021-11-24,11.0,22.0,11.0,1.0,3.0
2021-11-23,24.0,22.0,9.0,1.0,2.0
2021-11-22,26.0,24.0,8.0,1.0,3.0
2021-11-21,16.0,22.0,14.0,1.0,4.0
2021-11-20,14.0,21.0,12.0,1.0,3.0
2021-11-19,54.0,19.0,8.0,1.0,2.0
2021-11-18,24.0,35.0,9.0,1.0,3.0
2021-11-17,13.0,23.0,16.0,1.0,4.0
2021-11-16,24.0,17.0,7.0,1.0,3.0
2021-11-15,22.0,15.0,8.0,1.0,3.0
2021-11-14,22.0,15.0,7.0,1.0,3.0
2021-11-13,26.0,26.0,9.0,1.0,4.0
2021-11-12,26.0,29.0,5.0,1.0,2.0
2021-11-11,42.0,22.0,15.0,1.0,4.0
2021-11-10,55.0,19.0,15.0,1.0,4.0
2021-11-09,56.0,25.0,26.0,1.0,7.0
2021-11-08,48.0,22.0,25.0,1.0,7.0
2021-11-07,41.0,23.0,21.0,1.0,6.0
2021-11-06,30.0,21.0,19.0,1.0,5.0
2021-11-05,22.0,21.0,17.0,1.0,5.0
2021-11-04,20.0,15.0,14.0,1.0,3.0
2021-11-03,22.0,19.0,10.0,1.0,2.0
2021-11-02,19.0,22.0,13.0,1.0,4.0
2021-11-01,16.0,22.0,8.0,1.0,2.0
2021-10-31,17.0,22.0,4.0,1.0,3.0
2021-10-30,33.0,26.0,3.0,1.0,1.0
2021-10-29,29.0,25.0,9.0,1.0,2.0
2021-10-28,18.0,21.0,10.0,1.0,3.0
2021-10-27,14.0,21.0,2.0,1.0,1.0
2021-10-26,20.0,25.0,4.0,1.0,1.0
2021-10-25,24.0,18.0,9.0,1.0,2.0
2021-10-24,15.0,18.0,8.0,1.0,3.0
2021-10-23,35.0,18.0,6.0,1.0,3.0
2021-10-22,36.0,34.0,8.0,1.0,3.0
2021-10-21,36.0,40.0,13.0,1.0,3.0
2021-10-20,18.0,27.0,14.0,1.0,4.0
2021-10-19,17.0,22.0,6.0,1.0,3.0
2021-10-18,12.0,18.0,6.0,1.0,3.0
2021-10-17,23.0,22.0,3.0,1.0,3.0
2021-10-16,40.0,33.0,3.0,1.0,3.0
2021-10-15,35.0,24.0,10.0,1.0,3.0
2021-10-14,35.0,25.0,13.0,1.0,4.0
2021-10-13,28.0,32.0,12.0,1.0,4.0
2021-10-12,16.0,27.0,15.0,1.0,5.0
2021-10-11,16.0,23.0,7.0,1.0,2.0
2021-10-10,26.0,26.0,2.0,1.0,1.0
2021-10-09,29.0,23.0,1.0,1.0,2.0
2021-10-08,18.0,22.0,8.0,1.0,3.0
2021-10-07,17.0,19.0,15.0,1.0,6.0
2021-10-06,13.0,15.0,15.0,1.0,6.0
2021-10-05,20.0,16.0,8.0,1.0,3.0
2021-10-04,26.0,18.0,5.0,1.0,2.0
2021-10-03,29.0,17.0,8.0,1.0,3.0
