,date,fuel_and_gas_total,special_fuel,gasoline,vehicle-miles
0,2021-12-01,246228117.0,37352085.0,208876032.0,5260
1,2021-11-01,242875383.0,38099539.0,204775844.0,5156
2,2021-10-01,267412325.0,41370369.0,226041956.0,5543
3,2021-09-01,259284840.0,37847254.0,221437586.0,5120
4,2021-08-01,261347939.0,39981448.0,221366491.0,5340
5,2021-07-01,261146156.0,36662626.0,224483530.0,5535
6,2021-06-01,263994621.0,38535239.0,225459382.0,5319
7,2021-05-01,257785398.0,39433134.0,218352264.0,5050
8,2021-04-01,236267059.0,35984047.0,200283012.0,4195
9,2021-03-01,238568212.0,36742079.0,201826133.0,4735
10,2021-02-01,204932241.0,34406091.0,170526150.0,3674
11,2021-01-01,214895112.0,31811107.0,183084005.0,4097
12,2020-12-01,230481036.0,37258003.0,193223033.0,4742
13,2020-11-01,222679861.0,36010906.0,186668955.0,4425
14,2020-10-01,244858856.0,38991865.0,205866991.0,4990
15,2020-09-01,237161373.0,35671304.0,201490069.0,4669
16,2020-08-01,244105890.0,31420879.0,212685011.0,4846
17,2020-07-01,239938253.0,31199793.0,208738460.0,4965
18,2020-06-01,225925647.0,36828893.0,189096754.0,4323
19,2020-05-01,145003218.0,26660056.0,118343162.0,3567
20,2020-04-01,144974408.0,26660056.0,118314352.0,2530
21,2020-03-01,214270645.0,32101591.0,182169054.0,4074
22,2020-02-01,239996914.0,31244579.0,208752335.0,4629
23,2020-01-01,260475727.0,35440135.0,225035592.0,5040
24,2019-12-01,271736780.0,40613394.0,231123386.0,5649
25,2019-11-01,266788905.0,37639055.0,229149850.0,5525
26,2019-10-01,283766656.0,40906020.0,242860636.0,5993
27,2019-09-01,266899868.0,36901788.0,229998080.0,5680
28,2019-08-01,290105193.0,40717694.0,249387499.0,5982
29,2019-07-01,286227140.0,37688651.0,248538489.0,6269
30,2019-06-01,276756627.0,38389693.0,238366934.0,5849
31,2019-05-01,282519359.0,39783649.0,242735710.0,5806
32,2019-04-01,264385252.0,35822657.0,228562595.0,5130
33,2019-03-01,268222054.0,36996845.0,231225209.0,5467
34,2019-02-01,238603044.0,32452043.0,206151001.0,4750
35,2019-01-01,260389546.0,34757479.0,225632067.0,5122
36,2018-12-01,275407082.0,37867966.0,237539116.0,5808
37,2018-11-01,269949728.0,38029617.0,231920111.0,5450
38,2018-10-01,288391049.0,39398380.0,248992669.0,5560
39,2018-09-01,268992086.0,37112481.0,231879605.0,5279
40,2018-08-01,291603917.0,41044950.0,250558967.0,5528
41,2018-07-01,283045933.0,35842579.0,247203354.0,5764
42,2018-06-01,284103916.0,39652933.0,244450983.0,5481
43,2018-05-01,286089897.0,41053522.0,245036375.0,5523
44,2018-04-01,255805787.0,34973199.0,220832588.0,4740
45,2018-03-01,268085166.0,37868471.0,230216695.0,5113
46,2018-02-01,248178305.0,31265261.0,216913044.0,4337
47,2018-01-01,252337661.0,37126150.0,215211511.0,4591
48,2017-12-01,276038875.0,38754697.0,237284178.0,5263
49,2017-11-01,271188491.0,38018452.0,233170039.0,5051
50,2017-10-01,279474788.0,38153306.0,241321482.0,5693
51,2017-09-01,268690860.0,36143905.0,232546955.0,5250
52,2017-08-01,285512127.0,39048762.0,246463365.0,5619
53,2017-07-01,276072965.0,34549900.0,241523065.0,5752
54,2017-06-01,292068319.0,39599468.0,252468851.0,5449
55,2017-05-01,282745754.0,39959774.0,242785980.0,5433
56,2017-04-01,258582810.0,33744885.0,224837925.0,4665
57,2017-03-01,268126301.0,36007123.0,232119178.0,4864
58,2017-02-01,233940464.0,31865601.0,202074863.0,4233
59,2017-01-01,250310733.0,32154841.0,218155892.0,4799
60,2016-12-01,283893328.0,39697661.0,244195667.0,5051
61,2016-11-01,269199081.0,37184370.0,232014711.0,4988
62,2016-10-01,273662772.0,35674168.0,237988604.0,5191
63,2016-09-01,273597708.0,37262590.0,236335118.0,4922
64,2016-08-01,288964704.0,38967686.0,249997018.0,5300
65,2016-07-01,283253024.0,36090246.0,247162778.0,5422
66,2016-06-01,284108959.0,37795208.0,246313751.0,5317
67,2016-05-01,281442301.0,39801448.0,241640853.0,5151
68,2016-04-01,268014167.0,36172196.0,231841971.0,4470
69,2016-03-01,267472959.0,36083788.0,231389171.0,5167
70,2016-02-01,262589803.0,38250229.0,224339574.0,4571
71,2016-01-01,262744019.0,38261385.0,224482634.0,4879
72,2015-12-01,247128453.0,35126352.0,212002101.0,4937
73,2015-11-01,264312317.0,36094187.0,228218130.0,4727
74,2015-10-01,277581286.0,37624606.0,239956680.0,5130
75,2015-09-01,269356929.0,36351584.0,233005345.0,4812
76,2015-08-01,283196803.0,37209372.0,245987431.0,5144
77,2015-07-01,281541951.0,36932462.0,244609489.0,5347
78,2015-06-01,275964378.0,38507646.0,237456732.0,5089
79,2015-05-01,279592269.0,37660454.0,241931815.0,5018
80,2015-04-01,254655617.0,34275199.0,220380418.0,4334
81,2015-03-01,271479109.0,40286900.0,231192209.0,4748
82,2015-02-01,241221905.0,37936227.0,203285678.0,4062
83,2015-01-01,273770979.0,35773020.0,237997959.0,4406
84,2014-12-01,248551027.0,35697512.0,212853515.0,4845
85,2014-11-01,264633985.0,36643845.0,227990140.0,4523
86,2014-10-01,270250004.0,35386237.0,234863767.0,4974
87,2014-09-01,263084147.0,35740173.0,227343974.0,4681
88,2014-08-01,278629074.0,35816651.0,242812423.0,5035
89,2014-07-01,273720766.0,34423003.0,239297763.0,5176
90,2014-06-01,270119214.0,34984011.0,235135203.0,4949
91,2014-05-01,275728585.0,37368430.0,238360155.0,4946
92,2014-04-01,251496065.0,31270900.0,220225165.0,4270
93,2014-03-01,259171068.0,33559787.0,225611281.0,4749
94,2014-02-01,231838248.0,31779879.0,200058369.0,4159
95,2014-01-01,252971591.0,34329658.0,218641933.0,4547
