date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,icon
2021-12-31,7.2,4.4,5.9,6.6,2.9,4.9,4.8,92.98,0.0,0.0,0.0,0.0,37.0,11.1,130.0,1014.4,99.5,7.3,cloudy
2021-12-30,5.7,3.3,4.6,5.7,0.8,3.2,2.6,87.69,1.5,25.0,0.0,0.0,36.099999999999994,12.8,152.9,1014.6,99.8,8.0,rain
2021-12-29,5.7,2.8,4.4,5.7,-0.1,3.1,-1.1,68.08,0.03,4.17,0.0,0.33,35.199999999999996,17.9,167.5,1013.6,99.5,16.0,rain
2021-12-28,7.2,0.7,3.9,4.2,-1.7,1.6,-0.7,74.15,1.21,25.0,0.51,1.0,34.3,18.5,219.3,1010.0,96.4,12.1,snow
2021-12-27,1.7,-1.1,0.5,1.7,-6.7,-3.4,-5.2,65.61,0.0,0.0,0.63,1.0,46.2,32.9,261.2,1016.2,71.0,16.0,snow
2021-12-26,3.4,1.2,2.2,-0.5,-5.1,-2.4,-1.2,79.24,6.07,20.83,0.71,1.64,51.5,31.4,303.3,1008.1,93.7,15.0,snow
2021-12-25,2.2,-2.2,0.2,-0.6,-6.9,-2.5,-1.2,90.61,8.19,41.67,0.8,1.0,49.166666666666664,18.0,189.9,1004.4,99.8,7.8,snow
2021-12-24,-1.2,-4.4,-3.0,-1.7,-9.6,-5.6,-11.2,56.18,0.0,0.0,0.78,1.0,46.833333333333336,14.5,216.1,1019.9,100.0,15.2,snow
2021-12-23,0.6,-4.4,-1.4,-4.7,-10.3,-7.0,-15.2,35.37,0.0,0.0,0.63,0.63,44.5,29.3,304.1,1017.1,34.0,16.0,snow
2021-12-22,5.7,1.1,3.7,3.5,-4.7,0.4,-0.3,76.19,2.34,20.83,0.0,1.0,53.6,31.6,220.6,1002.8,80.9,13.0,rain
2021-12-21,6.7,-1.2,2.5,4.7,-7.4,-1.1,-5.6,56.16,0.0,0.0,0.0,1.0,42.5,28.8,211.9,1017.2,59.1,16.0,partly-cloudy-day
2021-12-20,0.0,-6.7,-3.2,-3.1,-13.9,-8.1,-11.0,55.77,0.0,0.0,0.61,1.0,38.9,25.5,259.5,1025.0,36.6,16.0,snow
2021-12-19,6.6,-4.4,0.8,6.1,-10.4,-4.5,-2.8,78.09,11.23,37.5,0.51,1.35,46.3,33.0,313.2,1015.2,75.2,11.4,snow
2021-12-18,6.0,1.2,3.9,3.9,-2.1,1.2,-2.1,67.52,11.68,41.67,0.85,0.85,54.55,21.6,206.0,1019.5,95.9,11.9,snow
2021-12-17,15.0,7.7,12.3,15.0,5.0,11.8,-3.6,36.41,0.0,0.0,0.0,0.0,62.8,36.7,266.6,1012.7,54.1,16.0,wind
2021-12-16,15.7,7.2,12.4,15.7,4.4,12.1,7.9,75.45,4.48,37.5,0.0,0.0,40.7,31.2,215.8,1015.3,94.8,15.1,rain
2021-12-15,6.2,-0.2,3.7,4.2,-3.3,0.9,-5.6,52.92,0.49,4.17,0.0,0.0,38.0,20.1,207.0,1035.9,82.3,16.0,rain
2021-12-14,10.7,3.3,7.4,10.7,-0.8,4.8,-7.8,34.29,0.0,0.0,0.0,0.0,35.3,25.4,307.0,1029.4,48.6,16.0,partly-cloudy-day
2021-12-13,11.2,3.3,6.7,11.2,-1.8,3.1,-6.2,39.74,0.0,0.0,0.0,0.0,57.5,32.8,230.6,1019.2,41.5,16.0,wind
2021-12-12,16.7,3.2,7.1,16.7,-1.6,3.3,-5.5,42.09,1.16,8.33,0.0,0.0,64.9,46.0,266.6,1013.0,47.4,15.9,rain
2021-12-11,17.9,1.6,9.2,17.9,-0.6,8.3,7.1,87.18,6.63,29.17,0.0,1.0,64.5,44.0,239.8,1008.8,99.7,11.4,rain
2021-12-10,6.2,-1.7,2.4,5.3,-5.1,0.1,-3.8,64.46,0.0,0.0,2.65,3.0,49.0,14.3,186.5,1023.3,95.9,15.9,snow
2021-12-09,3.4,-3.4,-0.4,-0.8,-9.2,-4.9,-7.1,62.75,0.29,4.17,1.55,4.14,33.5,22.9,256.9,1019.8,71.7,14.3,snow
2021-12-08,2.2,-2.1,1.3,-0.5,-8.0,-2.7,-4.7,66.37,0.01,4.17,2.59,2.59,40.7,31.1,190.8,1017.4,98.3,14.3,snow
2021-12-07,7.2,2.1,4.1,2.7,-1.4,0.1,-6.6,46.12,0.11,4.17,0.0,0.0,68.2,33.2,276.5,1016.8,53.2,16.0,rain
2021-12-06,16.2,5.6,11.5,16.2,2.3,10.4,7.7,78.01,6.14,25.0,0.0,0.0,65.4,42.0,178.6,1011.4,96.2,15.0,rain
2021-12-05,8.4,3.2,5.1,6.2,-0.2,2.1,-5.1,49.05,0.0,0.0,0.0,0.0,45.650000000000006,20.3,225.3,1026.9,87.2,16.0,partly-cloudy-day
2021-12-04,5.0,-1.8,2.0,2.1,-6.8,-1.9,-6.6,53.07,0.0,0.0,0.0,0.0,25.9,21.8,241.6,1018.5,70.2,16.0,partly-cloudy-day
2021-12-03,7.2,1.0,4.5,3.8,-3.6,-0.1,-5.6,49.45,0.29,4.17,0.0,0.0,59.3,38.2,278.0,1007.7,33.6,16.0,rain
2021-12-02,15.0,2.7,8.9,15.0,-0.9,7.4,4.1,72.35,0.32,12.5,0.0,0.0,57.1,31.2,195.2,1007.4,94.9,15.9,rain
2021-12-01,7.3,0.6,4.1,4.2,-4.1,0.7,-2.7,62.29,0.0,0.0,0.0,0.0,44.6,25.4,244.5,1018.0,64.5,16.0,partly-cloudy-day
2021-11-30,4.4,-3.3,0.7,1.0,-9.4,-3.9,-8.1,52.39,0.0,0.0,0.0,0.0,35.3,25.4,262.2,1013.4,49.5,16.0,partly-cloudy-day
2021-11-29,4.4,-1.2,1.7,2.8,-7.0,-2.3,-6.5,54.93,0.0,0.0,0.0,0.0,37.1,25.5,313.1,1010.5,68.3,16.0,partly-cloudy-day
2021-11-28,3.4,-1.7,1.2,2.8,-7.6,-2.3,-7.5,52.2,0.0,0.0,0.0,0.8,38.9,21.8,212.7,1011.2,87.8,16.0,partly-cloudy-day
2021-11-27,3.4,-1.2,1.5,-1.9,-6.8,-4.1,-6.1,57.86,0.0,0.0,0.9,2.41,55.1,36.5,280.1,1003.9,57.2,15.5,snow
2021-11-26,8.3,1.7,6.0,6.7,-4.8,2.6,1.0,71.59,1.17,41.67,1.51,1.51,59.1,36.7,260.7,999.7,100.0,15.5,snow
